0,1,2,3,4,5,6,genres,moods
때껄룩ᴛᴀᴋᴇ ᴀ ʟᴏᴏᴋ,1930000.0,408.0,708387927.0,367.0,1736245.0,41120,"['Folk (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Blues (국내)', 'Blues (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Dance (국내)']",['모든 분위기']
때잉,1600000.0,534.0,1456338835.0,910.0,2727226.0,-,"['Pop (국외)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'R&B / Soul (국외)', 'Folk (국외)']",['모든 분위기']
essential;,1420000.0,442.0,319202926.0,225.0,722179.0,26917,"['Ballad (국내)', 'Pop (국외)', 'Rap / Hip-hop (국외)', 'R&B / Soul (국외)', 'Folk (국외)']",['모든 분위기']
쏘플 soso playlist,1350000.0,349.0,1004560304.0,744.0,2878396.0,149705,"['OST (국내)', 'OST (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Folk (국외)', 'R&B / Soul (국내)']",['모든 분위기']
LQ KPOP,956000.0,63.0,159671540.0,167.0,2534469.0,50992,['Dance (국내)'],"['행복', '다이내믹 템포', '몽환']"
기몽초,899000.0,386.0,602414848.0,670.0,1560660.0,26721,"['Pop (국외)', 'R&B / Soul (국외)', 'Dance (국내)', 'OST (국외)', 'R&B / Soul (국내)', 'Folk (국외)']",['모든 분위기']
리플레이LEEPLAY,867000.0,280.0,229103900.0,264.0,818228.0,20139,"['Blues (국외)', 'Country (국외)', 'Folk (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rock (국외)', 'Jazz (국외)']",['모든 분위기']
네고막을책임져도될까,795000.0,274.0,156825225.0,197.0,572355.0,22806,"['Blues (국외)', 'Country (국외)', 'Folk (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rock (국외)', 'Jazz (국외)']",['모든 분위기']
H녀,693000.0,314.0,288584557.0,416.0,919059.0,40073,"['Pop (국외)', 'R&B / Soul (국외)', 'Folk (국외)', 'Country (국외)', 'Rock (국외)']",['모든 분위기']
table w,663000.0,89.0,500142961.0,754.0,5619584.0,24578,"['Pop (국외)', 'R&B / Soul (국외)', 'Folk (국외)', 'Country (국외)', 'Rock (국외)']",['모든 분위기']
읏추읏추,490000.0,273.0,197599729.0,403.0,723809.0,-,"['Pop (국외)', 'R&B / Soul (국외)', 'Folk (국외)', 'Country (국외)', 'Rock (국외)']",['모든 분위기']
찐막 JJINMAK,492000.0,257.0,242836796.0,494.0,944890.0,-,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'OST (국내)']",['모든 분위기']
직키(Zickii),477000.0,712.0,453686099.0,951.0,637200.0,10323,"['Pop (국외)', 'R&B / Soul (국외)', 'Folk (국외)', 'Country (국외)', 'Rock (국외)']",['모든 분위기']
Sea Pearl,464000.0,68.0,71602107.0,154.0,1052972.0,207368,"['New Age', 'Classic', 'R&B / Soul (국외)', 'Blues (국내)', 'Folk (국내)', 'Blues (국외)', 'Folk (국외)']",['모든 분위기']
민플리ᴘʟᴀʏʟɪsᴛ,409000.0,314.0,116217265.0,284.0,370119.0,801182,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Jazz (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",['모든 분위기']
알파,415000.0,2488.0,1130754608.0,2725.0,454483.0,647,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Jazz (국내)', 'OST (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)', 'Jazz (국외)', 'OST (국외)']",[]
my blue valentine,384000.0,77.0,58951525.0,154.0,765604.0,524013,"['New Age', 'Classic', '뮤직테라피', 'Jazz (국외)', 'Jazz (국내)']",['모든 분위기']
BeiGe Mellow 베이지멜로우,374000.0,567.0,139235516.0,372.0,245565.0,1415,"['New Age', 'Classic', '뮤직테라피']",['모든 분위기']
thanks for coming.,355000.0,310.0,56379334.0,159.0,181869.0,7667,"['Jazz (국외)', 'New Age', 'Classic', '뮤직테라피', 'R&B / Soul (국외)', 'Pop (국외)']",['모든 분위기']
모트모트TV,388000.0,1382.0,319303041.0,823.0,231044.0,4740,"['Dance (국내)', 'Rock (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Pop (국외)', 'OST (국내)', 'OST (국외)', 'Jazz (국내)', 'Jazz (국외)']","['몽환', '유쾌', '희망', '편안함']"
레몬쓰,335000.0,366.0,169032433.0,505.0,461837.0,-,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Dance (국내)']",['모든 분위기']
𝐓𝐮𝐫𝐧𝐢𝐧𝐠𝐏𝐨𝐢𝐧𝐭 𝐌𝐮𝐬𝐢𝐜,304000.0,862.0,119875587.0,394.0,139067.0,702,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Jazz (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)', 'Electronica (J-Pop)', 'Pop (J-Pop)', 'R&B / Soul (J-Pop)', 'Rap / Hip-hop (J-Pop)', 'Rock (J-Pop)', 'New Age', 'Classic']",['모든 분위기']
메르헨 Marchen,321000.0,244.0,54010223.0,168.0,221353.0,11361,"['New Age', 'Classic']","['몽환', '우아한', '미스테리', '모든 분위기']"
JAZZ IS EVERYWHERE,290000.0,147.0,33454835.0,115.0,227584.0,11781,"['Jazz (국외)', 'Jazz (국내)']",['모든 분위기']
MONKEY BGM,283000.0,350.0,96016562.0,339.0,274333.0,1108,"['Jazz (국외)', 'Jazz (국내)', 'New Age', '뮤직테라피']",['모든 분위기']
All was well,319000.0,215.0,59745782.0,187.0,277887.0,22329,"['New Age', 'Classic']",['모든 분위기']
눈에띠네,232000.0,229.0,122390882.0,528.0,534458.0,-,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Dance (국내)']",['모든 분위기']
원플리 Oneplaylist,232000.0,221.0,52863872.0,228.0,239203.0,4580,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Jazz (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)', 'Electronica (J-Pop)', 'Pop (J-Pop)', 'R&B / Soul (J-Pop)', 'Rap / Hip-hop (J-Pop)', 'Rock (J-Pop)']",['모든 분위기']
히조heejo,245000.0,233.0,19906691.0,81.0,85436.0,6481,[],"['행복', '희망', '편안함', '차분함', '로맨틱']"
by the way,216000.0,137.0,35482314.0,164.0,258995.0,19665,"['New Age', 'Classic', '뮤직테라피']",['모든 분위기']
새던,213000.0,81.0,25057608.0,118.0,309353.0,-,"['New Age', 'Classic', '뮤직테라피']","['슬픔', '감성적']"
Ode Studio Seoul,203000.0,174.0,32309831.0,159.0,185689.0,11593,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Dance (국내)']",['모든 분위기']
나만 듣기 아까운 노래,195000.0,1098.0,169241185.0,868.0,154136.0,503046,"['Rap / Hip-hop (국내)', 'R&B / Soul (국내)', 'Dance (국내)']",['모든 분위기']
밤공원,247000.0,333.0,192343644.0,779.0,577609.0,26813,"['Ballad (국내)', 'Dance (국내)', 'Rock (국내)', 'Electronica (국내)', 'OST (국내)']",['모든 분위기']
음악여우,190000.0,147.0,62579808.0,329.0,425713.0,22544,"['트로트', 'Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)']",['모든 분위기']
Wooden Chair 우든체어,178000.0,435.0,47918718.0,269.0,110158.0,-,"['Jazz (국외)', 'Jazz (국내)', 'New Age', '뮤직테라피']",['모든 분위기']
offweb,194000.0,173.0,27245014.0,140.0,157486.0,12185,"['Jazz (국외)', 'Blues (국외)', 'Country (국외)', 'Folk (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rock (국외)']",['모든 분위기']
맬러리 뮤직 Mallory Music,162000.0,154.0,27938856.0,172.0,181421.0,112644,"['Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rock (국외)']",['모든 분위기']
Blue rain,208000.0,126.0,82487862.0,397.0,654666.0,7861,"['Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)', 'Jazz (국외)']",['모든 분위기']
웅키,358000.0,1411.0,696132694.0,1945.0,493361.0,358662,"['Ballad (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Blues (국내)', 'OST (국내)']",['모든 분위기']
mycozypop,161000.0,332.0,53599116.0,333.0,161443.0,24158,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",['모든 분위기']
sehooninseoul,170000.0,596.0,52275419.0,308.0,87710.0,2755,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",['모든 분위기']
감성 저장소,170000.0,431.0,45895675.0,270.0,106486.0,1062,"['Ballad (국내)', 'Blues (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'OST (국내)']",['모든 분위기']
솧디 DJSOHEE,147000.0,126.0,49974649.0,340.0,396624.0,123228,"['Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)', 'CCM (국외)', 'Jazz (국외)', 'OST (국외)']",['모든 분위기']
일상의 효정,175000.0,330.0,51166132.0,292.0,155049.0,9872,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Jazz (국내)', 'OST (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)', 'Electronica (J-Pop)', 'Pop (J-Pop)', 'R&B / Soul (J-Pop)', 'Rap / Hip-hop (J-Pop)', 'Rock (J-Pop)', 'New Age', 'Classic']",['모든 분위기']
#yeLocDirAe 옐럭,139000.0,362.0,48073822.0,346.0,132801.0,1927,"['Electronica (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",[]
GRASS COTTON 그래스코튼,171000.0,413.0,59741922.0,349.0,144654.0,736,"['New Age', '뮤직테라피']",['평화로움']
Music is My Life,137000.0,623.0,39058526.0,285.0,62694.0,1000,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)']",['모든 분위기']
율다우TV,145000.0,1257.0,76364210.0,527.0,60751.0,1425,"['New Age', 'Classic', '뮤직테라피']",['모든 분위기']
Milky Way,121000.0,51.0,74390.0,1.0,1459.0,4750,"['OST (국외)', 'New Age', 'Classic', '뮤직테라피']",['모든 분위기']
기분Jazz네 | Mood is Jazz,244000.0,143.0,58657422.0,240.0,410192.0,6902,"['Jazz (국내)', 'Jazz (국외)', 'Blues (국외)']",['모든 분위기']
지태선 𝙄 𝙟𝙪𝙨𝙩 𝙡𝙞𝙠𝙚 𝙢𝙪𝙨𝙞𝙘,131000.0,225.0,31993076.0,244.0,142191.0,52518,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)']",['모든 분위기']
SeopLee 섭리,131000.0,50.0,39376776.0,301.0,787536.0,85650,"['Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",['모든 분위기']
루프탑뮤직 Rooftop Music,126000.0,565.0,36199236.0,287.0,64069.0,412,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Dance (국내)', 'Electronica (국내)']",['모든 분위기']
핑프,174000.0,279.0,132803687.0,763.0,475999.0,-,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)']",['모든 분위기']
낭만호테 해피챌린지100... ,142000.0,2321.0,10003263.0,70.0,4310.0,362,"['New Age', 'Classic', '뮤직테라피']",['모든 분위기']
호정 HOJUNG [𝐏𝐋𝐀𝐘𝐋𝐈𝐒𝐓],154000.0,90.0,29918784.0,194.0,332431.0,38332,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)', 'Blues (국외)', 'Country (국외)', 'Folk (국외)', 'Pop (국외)', 'R&B / Soul (국외)']",['모든 분위기']
이상한 나라의 매디,145000.0,331.0,77814723.0,537.0,235090.0,11523,"['Country (국외)', 'Folk (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rock (국외)']",['모든 분위기']
재즈오빠 Jazzoppa,176000.0,78.0,20902601.0,119.0,267982.0,23329,"['Jazz (국내)', 'Jazz (국외)', 'Blues (국외)']",['모든 분위기']
온에잇 𝐎𝐧 𝟖𝐢𝐠𝐡𝐭,134000.0,295.0,38939553.0,291.0,131998.0,6179,"['Rock (국내)', 'Rock (국외)']",['모든 분위기']
들어보송song,116000.0,454.0,33360615.0,288.0,73482.0,1953,"['Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rock (국외)']",['모든 분위기']
문화인 - MUN HWA IN,125000.0,860.0,34094990.0,273.0,39645.0,684,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)']",['모든 분위기']
낮달,146000.0,225.0,33263881.0,228.0,147839.0,19686,"['New Age', '기타']",['모든 분위기']
재하의 새벽 Jaeha's... ,128000.0,682.0,59891470.0,468.0,87817.0,895,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)']",['모든 분위기']
아틀란티스의 팝송채널,177000.0,1061.0,80499897.0,455.0,75872.0,2899,"['Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)', 'CCM (국외)', 'Jazz (국외)', 'OST (국외)']",[]
나의플레이리스트 ɴᴀᴘʟʏ,114000.0,102.0,51776279.0,454.0,507611.0,17983,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)']",['모든 분위기']
이맹구,107000.0,55.0,21627521.0,202.0,393228.0,3784,"['R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Electronica (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",['모든 분위기']
레이백 ʟᴀʏʙᴀᴄᴋ,158000.0,104.0,24815744.0,157.0,238613.0,9450,"['Rap / Hip-hop (국내)', 'R&B / Soul (국내)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Pop (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",['모든 분위기']
마인드피아노 MIND PIANO,132000.0,282.0,66114254.0,501.0,234448.0,1805,['New Age'],['모든 분위기']
스너그 ᴘʟᴀʏʟɪꜱᴛ,117000.0,647.0,79624033.0,681.0,123067.0,2315,"['Dance (국내)', 'Rap / Hip-hop (국내)', 'R&B / Soul (국내)', 'Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)', 'Pop (국외)', 'Rap / Hip-hop (국외)', 'R&B / Soul (국외)']",['모든 분위기']
쉐어룸 ꜱʜᴀʀᴇ ʀᴏᴏᴍ,102000.0,240.0,27328923.0,268.0,113871.0,2752,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",['모든 분위기']
윤시월,105000.0,112.0,10862028.0,103.0,96982.0,10848,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)']",['모든 분위기']
쥅쥅,132000.0,1161.0,82339959.0,624.0,70922.0,1014,"['R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Electronica (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",['모든 분위기']
언노움 ᴜɴᴋɴᴏᴡᴍ,108000.0,233.0,40084155.0,371.0,172035.0,8730,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Jazz (국내)', 'OST (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)', 'New Age', 'Classic']",['모든 분위기']
별빛바램 ᴘʟᴀʏʟɪsᴛ,98800.0,39.0,21206453.0,215.0,543755.0,-,"['Dance (국내)', 'R&B / Soul (국내)', 'Ballad (국내)', 'Ballad (국내)', 'Rap / Hip-hop (국내)']",['모든 분위기']
팝플리,102000.0,42.0,273410.0,3.0,6510.0,13402,"['Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)', 'CCM (국외)', 'Jazz (국외)', 'OST (국외)']",[]
덧칠The Chill,106000.0,146.0,24039947.0,227.0,164657.0,19255,"['R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Electronica (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",['모든 분위기']
wave,132000.0,82.0,13770950.0,104.0,167938.0,30050,"['New Age', 'Classic', 'R&B / Soul (국외)', 'Blues (국내)', 'Folk (국내)', 'Blues (국외)', 'Folk (국외)']",['모든 분위기']
남자사람친구,99300.0,622.0,60088643.0,605.0,96606.0,299,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)']",['모든 분위기']
인디인디 In The Indie,135000.0,1125.0,63472077.0,470.0,56420.0,1464,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)', 'R&B / Soul (국내)']",['모든 분위기']
비쁠,107000.0,149.0,22552914.0,211.0,151362.0,20580,"['Electronica (J-Pop)', 'Pop (J-Pop)', 'R&B / Soul (J-Pop)', 'Rap / Hip-hop (J-Pop)', 'Rock (J-Pop)']",['모든 분위기']
찬사,101000.0,68.0,15531783.0,154.0,228409.0,24498,"['Electronica (국외)', 'New Age', 'Classic', '뮤직테라피']",['모든 분위기']
맛있는음악박사,159000.0,408.0,207814321.0,1307.0,509349.0,-,"['Blues (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)']",['모든 분위기']
바이올렛 피즈 Violet fizz,89300.0,272.0,25594436.0,287.0,94097.0,-,"['Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",['모든 분위기']
아무튼,112000.0,19.0,17567212.0,157.0,924590.0,133808,"['기타', 'New Age']",['모든 분위기']
youngJU_the muze,95300.0,317.0,117041212.0,1228.0,369215.0,1562,[],['모든 분위기']
아 퇴사하고싶다,87900.0,756.0,39623212.0,451.0,52412.0,187,"['Ballad (국내)', 'Dance (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)']",['모든 분위기']
𝐲𝐮𝐧𝐳𝐢𝐳𝐢 윤지지,117000.0,59.0,18447577.0,158.0,312671.0,33053,"['New Age', 'Classic', '뮤직테라피']",['모든 분위기']
내가 듣고싶어서 만든... ,96100.0,121.0,15546282.0,162.0,128482.0,70056,"['R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Electronica (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",['모든 분위기']
조거북,86700.0,341.0,89632622.0,1034.0,262852.0,2163,"['Ballad (국내)', 'Dance (국내)', 'Rock (국내)', 'Electronica (국내)', 'OST (국내)']",['모든 분위기']
형빈 Thinking about you,84600.0,332.0,24879282.0,294.0,74938.0,860,"['R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rap / Hip-hop (국외)', 'Pop (국외)']",['모든 분위기']
